CHINESE YUAN TO US $ (WMR) - BID SPOT,CHINESE YUAN TO US $ (WMR) - EXCHANGE RATE,CHINESE YUAN TO US $ (WMR) - SPOT OFFERED
CHIYUA$(EB),CHIYUA$(ER),CHIYUA$(EO)
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2763,8.2763,8.2763
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2763,8.2763,8.2763
8.2767,8.2767,8.2767
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.2765,8.2765,8.2765
8.2763,8.2763,8.2763
8.2765,8.2765,8.2765
8.2765,8.2765,8.2765
8.2764,8.2764,8.2764
8.11,8.11,8.11
8.1111,8.1111,8.1111
8.1097,8.1097,8.1097
8.1099,8.1099,8.1099
8.1128,8.1128,8.1128
8.108,8.108,8.108
8.1056,8.1056,8.1056
8.1046,8.1046,8.1046
8.1032,8.1032,8.1032
8.1051,8.1051,8.1051
8.1027,8.1027,8.1027
8.1037,8.1037,8.1037
8.109,8.109,8.109
8.107,8.107,8.107
8.1062,8.1062,8.1062
8.1002,8.1002,8.1002
8.098,8.098,8.098
8.0971,8.0971,8.0971
8.1002,8.1002,8.1002
8.0997,8.0997,8.0997
8.1007,8.1007,8.1007
8.1047,8.1047,8.1047
8.1056,8.1056,8.1056
8.1012,8.1012,8.1012
8.1005,8.1005,8.1005
8.1002,8.1002,8.1002
8.0965,8.0965,8.0965
8.0954,8.0954,8.0954
8.0973,8.0973,8.0973
8.0998,8.0998,8.0998
8.0949,8.0949,8.0949
8.0935,8.0935,8.0935
8.0916,8.0916,8.0916
8.0913,8.0913,8.0913
8.0925,8.0925,8.0925
8.0945,8.0945,8.0945
8.0956,8.0956,8.0956
8.0924,8.0924,8.0924
8.094,8.094,8.094
8.0912,8.0912,8.0912
8.0887,8.0887,8.0887
8.0871,8.0871,8.0871
8.0906,8.0906,8.0906
8.089,8.089,8.089
8.0912,8.0912,8.0912
8.0881,8.0881,8.0881
8.091,8.091,8.091
8.0929,8.0929,8.0929
8.092,8.092,8.092
8.0939,8.0939,8.0939
8.093,8.093,8.093
8.092,8.092,8.092
8.092,8.092,8.092
8.092,8.092,8.092
8.092,8.092,8.092
8.092,8.092,8.092
8.092,8.092,8.092
8.0864,8.0864,8.0864
8.0879,8.0879,8.0879
8.0895,8.0895,8.0895
8.0885,8.0885,8.0885
8.0896,8.0896,8.0896
8.0877,8.0877,8.0877
8.091,8.091,8.091
8.0924,8.0924,8.0924
8.0905,8.0905,8.0905
8.0885,8.0885,8.0885
8.0916,8.0916,8.0916
8.0901,8.0901,8.0901
8.0867,8.0867,8.0867
8.0862,8.0862,8.0862
8.084,8.084,8.084
8.0845,8.0845,8.0845
8.086,8.086,8.086
8.0851,8.0851,8.0851
8.0841,8.0841,8.0841
8.0856,8.0856,8.0856
8.0877,8.0877,8.0877
8.0867,8.0867,8.0867
8.0857,8.0857,8.0857
8.0847,8.0847,8.0847
8.0856,8.0856,8.0856
8.0831,8.0831,8.0831
8.0845,8.0845,8.0845
8.0835,8.0835,8.0835
8.0845,8.0845,8.0845
8.0832,8.0832,8.0832
8.0833,8.0833,8.0833
8.0839,8.0839,8.0839
8.0816,8.0816,8.0816
8.0805,8.0805,8.0805
8.0815,8.0815,8.0815
8.0825,8.0825,8.0825
8.0796,8.0796,8.0796
8.0804,8.0804,8.0804
8.0798,8.0798,8.0798
8.0806,8.0806,8.0806
8.0808,8.0808,8.0808
8.078,8.078,8.078
8.0771,8.0771,8.0771
8.078,8.078,8.078
8.0765,8.0765,8.0765
8.077,8.077,8.077
8.0751,8.0751,8.0751
8.0746,8.0746,8.0746
8.074,8.074,8.074
8.0735,8.0735,8.0735
8.073,8.073,8.073
8.074,8.074,8.074
8.0765,8.0765,8.0765
8.0775,8.0775,8.0775
8.0762,8.0762,8.0762
8.0762,8.0762,8.0762
8.074,8.074,8.074
8.0725,8.0725,8.0725
8.0709,8.0709,8.0709
8.0702,8.0702,8.0702
8.0702,8.0702,8.0702
8.0702,8.0702,8.0702
8.0676,8.0676,8.0676
8.0657,8.0657,8.0657
8.0668,8.0668,8.0668
8.0641,8.0641,8.0641
8.0657,8.0657,8.0657
8.0682,8.0682,8.0682
8.0659,8.0659,8.0659
8.0683,8.0683,8.0683
8.066,8.066,8.066
8.0665,8.0665,8.0665
8.0685,8.0685,8.0685
8.0673,8.0673,8.0673
8.0601,8.0601,8.0601
8.0647,8.0647,8.0647
8.0614,8.0614,8.0614
8.0619,8.0619,8.0619
8.062,8.062,8.062
8.0616,8.0616,8.0616
8.0616,8.0616,8.0616
8.0616,8.0616,8.0616
8.0616,8.0616,8.0616
8.0616,8.0616,8.0616
8.0616,8.0616,8.0616
8.0555,8.0555,8.0555
8.0566,8.0566,8.0566
8.0545,8.0545,8.0545
8.0537,8.0537,8.0537
8.0505,8.0505,8.0505
8.0458,8.0458,8.0458
8.0485,8.0485,8.0485
8.0469,8.0469,8.0469
8.0494,8.0494,8.0494
8.0483,8.0483,8.0483
8.0475,8.0475,8.0475
8.0465,8.0465,8.0465
8.0475,8.0475,8.0475
8.048,8.048,8.048
8.0424,8.0424,8.0424
8.0407,8.0407,8.0407
8.0402,8.0402,8.0402
8.0369,8.0369,8.0369
8.0366,8.0366,8.0366
8.0367,8.0367,8.0367
8.0365,8.0365,8.0365
8.0424,8.0424,8.0424
8.0481,8.0481,8.0481
8.049,8.049,8.049
8.0505,8.0505,8.0505
8.0505,8.0505,8.0505
8.0473,8.0473,8.0473
8.0377,8.0377,8.0377
8.039,8.039,8.039
8.0316,8.0316,8.0316
8.0241,8.0241,8.0241
8.0277,8.0277,8.0277
8.0282,8.0282,8.0282
8.0277,8.0277,8.0277
8.03,8.03,8.03
8.0214,8.0214,8.0214
8.0206,8.0206,8.0206
8.0259,8.0259,8.0259
8.0268,8.0268,8.0268
8.0172,8.0172,8.0172
8.0199,8.0199,8.0199
8.016,8.016,8.016
8.0087,8.0087,8.0087
8.008,8.008,8.008
8.0111,8.0111,8.0111
8.0064,8.0064,8.0064
8.005,8.005,8.005
8.012,8.012,8.012
8.0185,8.0185,8.0185
8.0185,8.0185,8.0185
8.0205,8.0205,8.0205
8.024,8.024,8.024
8.0135,8.0135,8.0135
8.0115,8.0115,8.0115
8.017,8.017,8.017
8.015,8.015,8.015
8.014,8.014,8.014
8.0183,8.0183,8.0183
8.0161,8.0161,8.0161
8.014,8.014,8.014
8.014,8.014,8.014
8.014,8.014,8.014
8.014,8.014,8.014
8.014,8.014,8.014
8.014,8.014,8.014
8.007,8.007,8.007
8.0044,8.0044,8.0044
8.0037,8.0037,8.0037
8.0041,8.0041,8.0041
8.0061,8.0061,8.0061
8.003,8.003,8.003
8.003,8.003,8.003
8.0025,8.0025,8.0025
8.01,8.01,8.01
8.022,8.022,8.022
8.026,8.026,8.026
8.024,8.024,8.024
8.0265,8.0265,8.0265
8.024,8.024,8.024
8.025,8.025,8.025
8.0211,8.0211,8.0211
8.032,8.032,8.032
8.0175,8.0175,8.0175
8.0204,8.0204,8.0204
8.023,8.023,8.023
8.0077,8.0077,8.0077
8.0141,8.0141,8.0141
8.0172,8.0172,8.0172
8.0089,8.0089,8.0089
8.0112,8.0112,8.0112
8.0188,8.0188,8.0188
8.0035,8.0035,8.0035
8.0005,8.0005,8.0005
8.0015,8.0015,8.0015
8.002,8.002,8.002
8.006,8.006,8.006
8.0029,8.0029,8.0029
7.997,7.997,7.997
7.9964,7.9964,7.9964
8.0002,8.0002,8.0002
8.002,8.002,8.002
7.9983,7.9983,7.9983
7.9984,7.9984,7.9984
7.9955,7.9955,7.9955
7.9943,7.9943,7.9943
8.0027,8.0027,8.0027
7.9995,7.9995,7.9995
7.9958,7.9958,7.9958
7.9925,7.9925,7.9925
7.9859,7.9859,7.9859
7.99,7.99,7.99
7.9911,7.9911,7.9911
7.9917,7.9917,7.9917
7.9924,7.9924,7.9924
7.998,7.998,7.998
8.0048,8.0048,8.0048
7.9982,7.9982,7.9982
8.0028,8.0028,8.0028
7.992,7.992,7.992
7.982,7.982,7.982
7.9871,7.9871,7.9871
7.9872,7.9872,7.9872
7.9847,7.9847,7.9847
7.9748,7.9748,7.9748
7.9705,7.9705,7.9705
7.969,7.969,7.969
7.9746,7.9746,7.9746
7.9713,7.9713,7.9713
7.9768,7.9768,7.9768
7.9784,7.9784,7.9784
7.9689,7.9689,7.9689
7.9732,7.9732,7.9732
7.9772,7.9772,7.9772
7.971,7.971,7.971
7.976,7.976,7.976
7.979,7.979,7.979
8.0015,8.0015,8.0015
7.9885,7.9885,7.9885
7.9686,7.9686,7.9686
7.9745,7.9745,7.9745
7.9656,7.9656,7.9656
7.9664,7.9664,7.9664
7.9699,7.9699,7.9699
7.9725,7.9725,7.9725
7.9763,7.9763,7.9763
7.9707,7.9707,7.9707
7.9622,7.9622,7.9622
7.9587,7.9587,7.9587
7.9527,7.9527,7.9527
7.9532,7.9532,7.9532
7.9385,7.9385,7.9385
7.9488,7.9488,7.9488
7.9443,7.9443,7.9443
7.941,7.941,7.941
7.9485,7.9485,7.9485
7.9542,7.9542,7.9542
7.9465,7.9465,7.9465
7.9486,7.9486,7.9486
7.946,7.946,7.946
7.943,7.943,7.943
7.9468,7.9468,7.9468
7.9363,7.9363,7.9363
7.9265,7.9265,7.9265
7.9233,7.9233,7.9233
7.9195,7.9195,7.9195
7.9212,7.9212,7.9212
7.9105,7.9105,7.9105
7.902,7.902,7.902
7.8965,7.8965,7.8965
7.9041,7.9041,7.9041
7.9041,7.9041,7.9041
7.9041,7.9041,7.9041
7.9041,7.9041,7.9041
7.9041,7.9041,7.9041
7.9041,7.9041,7.9041
7.8995,7.8995,7.8995
7.9112,7.9112,7.9112
7.9149,7.9149,7.9149
7.9148,7.9148,7.9148
7.9015,7.9015,7.9015
7.9098,7.9098,7.9098
7.9082,7.9082,7.9082
7.9077,7.9077,7.9077
7.9102,7.9102,7.9102
7.9025,7.9025,7.9025
7.8991,7.8991,7.8991
7.9025,7.9025,7.9025
7.902,7.902,7.902
7.8959,7.8959,7.8959
7.8896,7.8896,7.8896
7.8738,7.8738,7.8738
7.879,7.879,7.879
7.8724,7.8724,7.8724
7.8735,7.8735,7.8735
7.8716,7.8716,7.8716
7.8811,7.8811,7.8811
7.8745,7.8745,7.8745
7.8661,7.8661,7.8661
7.8665,7.8665,7.8665
7.8645,7.8645,7.8645
7.8667,7.8667,7.8667
7.8669,7.8669,7.8669
7.8687,7.8687,7.8687
7.8715,7.8715,7.8715
7.8718,7.8718,7.8718
7.874,7.874,7.874
7.871,7.871,7.871
7.8647,7.8647,7.8647
7.862,7.862,7.862
7.8525,7.8525,7.8525
7.8436,7.8436,7.8436
7.84,7.84,7.84
7.8313,7.8313,7.8313
7.8334,7.8334,7.8334
7.836,7.836,7.836
7.8275,7.8275,7.8275
7.8218,7.8218,7.8218
7.8234,7.8234,7.8234
7.8236,7.8236,7.8236
7.8245,7.8245,7.8245
7.835,7.835,7.835
7.8308,7.8308,7.8308
7.8265,7.8265,7.8265
7.8185,7.8185,7.8185
7.8275,7.8275,7.8275
7.8202,7.8202,7.8202
7.8212,7.8212,7.8212
7.8152,7.8152,7.8152
7.817,7.817,7.817
7.8163,7.8163,7.8163
7.8163,7.8163,7.8163
7.82,7.82,7.82
7.8215,7.8215,7.8215
7.8141,7.8141,7.8141
7.8051,7.8051,7.8051
7.8051,7.8051,7.8051
7.8051,7.8051,7.8051
7.8051,7.8051,7.8051
7.809,7.809,7.809
7.8047,7.8047,7.8047
7.817,7.817,7.817
7.805,7.805,7.805
7.8071,7.8071,7.8071
7.7949,7.7949,7.7949
7.7984,7.7984,7.7984
7.7918,7.7918,7.7918
7.79,7.79,7.79
7.774,7.774,7.774
7.771,7.771,7.771
7.7739,7.7739,7.7739
7.7743,7.7743,7.7743
7.7781,7.7781,7.7781
7.7725,7.7725,7.7725
7.7705,7.7705,7.7705
7.7758,7.7758,7.7758
7.7745,7.7745,7.7745
7.775,7.775,7.775
7.7739,7.7739,7.7739
7.7585,7.7585,7.7585
7.756,7.756,7.756
7.7609,7.7609,7.7609
7.7555,7.7555,7.7555
7.748,7.748,7.748
7.7484,7.7484,7.7484
7.7476,7.7476,7.7476
7.757,7.757,7.757
7.7662,7.7662,7.7662
7.7575,7.7575,7.7575
7.7555,7.7555,7.7555
7.7426,7.7426,7.7426
7.7426,7.7426,7.7426
7.7426,7.7426,7.7426
7.7426,7.7426,7.7426
7.7426,7.7426,7.7426
7.7426,7.7426,7.7426
7.7535,7.7535,7.7535
7.7415,7.7415,7.7415
7.7405,7.7405,7.7405
7.7435,7.7435,7.7435
7.7465,7.7465,7.7465
7.75,7.75,7.75
7.7415,7.7415,7.7415
7.74,7.74,7.74
7.74,7.74,7.74
7.7445,7.7445,7.7445
7.752,7.752,7.752
7.743,7.743,7.743
7.738,7.738,7.738
7.744,7.744,7.744
7.736,7.736,7.736
7.736,7.736,7.736
7.7375,7.7375,7.7375
7.734,7.734,7.734
7.7266,7.7266,7.7266
7.728,7.728,7.728
7.7382,7.7382,7.7382
7.7334,7.7334,7.7334
7.7295,7.7295,7.7295
7.727,7.727,7.727
7.7302,7.7302,7.7302
7.734,7.734,7.734
7.7315,7.7315,7.7315
7.7325,7.7325,7.7325
7.7243,7.7243,7.7243
7.7243,7.7243,7.7243
7.734,7.734,7.734
7.735,7.735,7.735
7.725,7.725,7.725
7.726,7.726,7.726
7.7217,7.7217,7.7217
7.7331,7.7331,7.7331
7.7291,7.7291,7.7291
7.7218,7.7218,7.7218
7.7165,7.7165,7.7165
7.7179,7.7179,7.7179
7.7246,7.7246,7.7246
7.7261,7.7261,7.7261
7.7161,7.7161,7.7161
7.7263,7.7263,7.7263
7.7135,7.7135,7.7135
7.7039,7.7039,7.7039
7.7039,7.7039,7.7039
7.7039,7.7039,7.7039
7.7039,7.7039,7.7039
7.7039,7.7039,7.7039
7.7039,7.7039,7.7039
7.696,7.696,7.696
7.6935,7.6935,7.6935
7.6936,7.6936,7.6936
7.6766,7.6766,7.6766
7.6803,7.6803,7.6803
7.6868,7.6868,7.6868
7.682,7.682,7.682
7.6707,7.6707,7.6707
7.6686,7.6686,7.6686
7.6673,7.6673,7.6673
7.6547,7.6547,7.6547
7.653,7.653,7.653
7.6519,7.6519,7.6519
7.6527,7.6527,7.6527
7.6527,7.6527,7.6527
7.6497,7.6497,7.6497
7.6471,7.6471,7.6471
7.6466,7.6466,7.6466
7.6473,7.6473,7.6473
7.6512,7.6512,7.6512
7.6412,7.6412,7.6412
7.6358,7.6358,7.6358
7.6487,7.6487,7.6487
7.655,7.655,7.655
7.6632,7.6632,7.6632
7.6436,7.6436,7.6436
7.636,7.636,7.636
7.643,7.643,7.643
7.6254,7.6254,7.6254
7.6313,7.6313,7.6313
7.6175,7.6175,7.6175
7.618,7.618,7.618
7.6188,7.6188,7.6188
7.6207,7.6207,7.6207
7.6194,7.6194,7.6194
7.6159,7.6159,7.6159
7.6188,7.6188,7.6188
7.6151,7.6151,7.6151
7.6132,7.6132,7.6132
7.6047,7.6047,7.6047
7.5944,7.5944,7.5944
7.5947,7.5947,7.5947
7.5984,7.5984,7.5984
7.601,7.601,7.601
7.6015,7.6015,7.6015
7.581,7.581,7.581
7.5631,7.5631,7.5631
7.5673,7.5673,7.5673
7.5695,7.5695,7.5695
7.5678,7.5678,7.5678
7.5629,7.5629,7.5629
7.564,7.564,7.564
7.5632,7.5632,7.5632
7.574,7.574,7.574
7.562,7.562,7.562
7.5625,7.5625,7.5625
7.5581,7.5581,7.5581
7.5655,7.5655,7.5655
7.5623,7.5623,7.5623
7.5674,7.5674,7.5674
7.5724,7.5724,7.5724
7.5704,7.5704,7.5704
7.5718,7.5718,7.5718
7.568,7.568,7.568
7.561,7.561,7.561
7.5703,7.5703,7.5703
7.5748,7.5748,7.5748
7.5646,7.5646,7.5646
7.574,7.574,7.574
7.5815,7.5815,7.5815
7.576,7.576,7.576
7.5858,7.5858,7.5858
7.604,7.604,7.604
7.5951,7.5951,7.5951
7.5871,7.5871,7.5871
7.5906,7.5906,7.5906
7.6,7.6,7.6
7.587,7.587,7.587
7.5666,7.5666,7.5666
7.5604,7.5604,7.5604
7.5565,7.5565,7.5565
7.5487,7.5487,7.5487
7.541,7.541,7.541
7.545,7.545,7.545
7.5443,7.5443,7.5443
7.5497,7.5497,7.5497
7.5497,7.5497,7.5497
7.5384,7.5384,7.5384
7.5395,7.5395,7.5395
7.5214,7.5214,7.5214
7.5232,7.5232,7.5232
7.5216,7.5216,7.5216
7.5105,7.5105,7.5105
7.516,7.516,7.516
7.5227,7.5227,7.5227
7.5228,7.5228,7.5228
7.5135,7.5135,7.5135
7.5145,7.5145,7.5145
7.5036,7.5036,7.5036
7.5106,7.5106,7.5106
7.5112,7.5112,7.5112
7.515,7.515,7.515
7.5148,7.5148,7.5148
7.5061,7.5061,7.5061
7.5061,7.5061,7.5061
7.5061,7.5061,7.5061
7.5061,7.5061,7.5061
7.5061,7.5061,7.5061
7.5061,7.5061,7.5061
7.5062,7.5062,7.5062
7.517,7.517,7.517
7.5115,7.5115,7.5115
7.5057,7.5057,7.5057
7.5125,7.5125,7.5125
7.5284,7.5284,7.5284
7.518,7.518,7.518
7.5154,7.5154,7.5154
7.5111,7.5111,7.5111
7.508,7.508,7.508
7.5086,7.5086,7.5086
7.5047,7.5047,7.5047
7.4926,7.4926,7.4926
7.482,7.482,7.482
7.4976,7.4976,7.4976
7.4745,7.4745,7.4745
7.4708,7.4708,7.4708
7.463,7.463,7.463
7.4543,7.4543,7.4543
7.4558,7.4558,7.4558
7.4551,7.4551,7.4551
7.453,7.453,7.453
7.4421,7.4421,7.4421
7.4207,7.4207,7.4207
7.4108,7.4108,7.4108
7.4123,7.4123,7.4123
7.4335,7.4335,7.4335
7.4253,7.4253,7.4253
7.4228,7.4228,7.4228
7.4257,7.4257,7.4257
7.4286,7.4286,7.4286
7.4218,7.4218,7.4218
7.411,7.411,7.411
7.4145,7.4145,7.4145
7.406,7.406,7.406
7.3969,7.3969,7.3969
7.384,7.384,7.384
7.3945,7.3945,7.3945
7.3824,7.3824,7.3824
7.4,7.4,7.4
7.4025,7.4025,7.4025
7.3985,7.3985,7.3985
7.388,7.388,7.388
7.4095,7.4095,7.4095
7.403,7.403,7.403
7.3952,7.3952,7.3952
7.3805,7.3805,7.3805
7.377,7.377,7.377
7.3692,7.3692,7.3692
7.3715,7.3715,7.3715
7.3873,7.3873,7.3873
7.3852,7.3852,7.3852
7.3768,7.3768,7.3768
7.3694,7.3694,7.3694
7.3696,7.3696,7.3696
7.3475,7.3475,7.3475
7.3475,7.3475,7.3475
7.3444,7.3444,7.3444
7.3175,7.3175,7.3175
7.3041,7.3041,7.3041
7.3041,7.3041,7.3041
7.3041,7.3041,7.3041
7.2934,7.2934,7.2934
7.2725,7.2725,7.2725
7.273,7.273,7.273
7.269,7.269,7.269
7.2643,7.2643,7.2643
7.262,7.262,7.262
7.2719,7.2719,7.2719
7.262,7.262,7.262
7.2516,7.2516,7.2516
7.2421,7.2421,7.2421
7.2324,7.2324,7.2324
7.2485,7.2485,7.2485
7.2418,7.2418,7.2418
7.2365,7.2365,7.2365
7.2392,7.2392,7.2392
7.232,7.232,7.232
7.2288,7.2288,7.2288
7.2102,7.2102,7.2102
7.197,7.197,7.197
7.1945,7.1945,7.1945
7.1916,7.1916,7.1916
7.1818,7.1818,7.1818
7.189,7.189,7.189
7.1884,7.1884,7.1884
7.184,7.184,7.184
7.184,7.184,7.184
7.184,7.184,7.184
7.184,7.184,7.184
7.184,7.184,7.184
7.184,7.184,7.184
7.2,7.2,7.2
7.1904,7.1904,7.1904
7.1825,7.1825,7.1825
7.1623,7.1623,7.1623
7.158,7.158,7.158
7.1436,7.1436,7.1436
7.1413,7.1413,7.1413
7.1418,7.1418,7.1418
7.1522,7.1522,7.1522
7.158,7.158,7.158
7.142,7.142,7.142
7.1133,7.1133,7.1133
7.1115,7.1115,7.1115
7.1041,7.1041,7.1041
7.106,7.106,7.106
7.1081,7.1081,7.1081
7.1059,7.1059,7.1059
7.111,7.111,7.111
7.1029,7.1029,7.1029
7.1029,7.1029,7.1029
7.101,7.101,7.101
7.09,7.09,7.09
7.0894,7.0894,7.0894
7.083,7.083,7.083
7.0815,7.0815,7.0815
7.063,7.063,7.063
7.0516,7.0516,7.0516
7.0516,7.0516,7.0516
7.0555,7.0555,7.0555
7.0448,7.0448,7.0448
7.0318,7.0318,7.0318
7.0105,7.0105,7.0105
7.012,7.012,7.012
7.012,7.012,7.012
7.0116,7.0116,7.0116
7.0184,7.0184,7.0184
7.0158,7.0158,7.0158
7.0158,7.0158,7.0158
7.0015,7.0015,7.0015
7.0008,7.0008,7.0008
7.0017,7.0017,7.0017
6.9916,6.9916,6.9916
7.0065,7.0065,7.0065
6.999,6.999,6.999
6.9925,6.9925,6.9925
6.9918,6.9918,6.9918
6.9838,6.9838,6.9838
6.9935,6.9935,6.9935
7,7,7
6.9897,6.9897,6.9897
6.9827,6.9827,6.9827
6.997,6.997,6.997
7.01,7.01,7.01
7.0014,7.0014,7.0014
6.985,6.985,6.985
6.9875,6.9875,6.9875
6.9875,6.9875,6.9875
6.9875,6.9875,6.9875
6.9879,6.9879,6.9879
6.9873,6.9873,6.9873
6.9871,6.9871,6.9871
7.0052,7.0052,7.0052
6.9918,6.9918,6.9918
6.9882,6.9882,6.9882
6.9889,6.9889,6.9889
7.003,7.003,7.003
6.9946,6.9946,6.9946
6.989,6.989,6.989
6.9753,6.9753,6.9753
6.9735,6.9735,6.9735
6.9597,6.9597,6.9597
6.943,6.943,6.943
6.9417,6.9417,6.9417
6.9366,6.9366,6.9366
6.9559,6.9559,6.9559
6.9444,6.9444,6.9444
6.9381,6.9381,6.9381
6.942,6.942,6.942
6.933,6.933,6.933
6.925,6.925,6.925
6.939,6.939,6.939
6.9465,6.9465,6.9465
6.923,6.923,6.923
6.923,6.923,6.923
6.9255,6.9255,6.9255
6.9184,6.9184,6.9184
6.9075,6.9075,6.9075
6.9018,6.9018,6.9018
6.9004,6.9004,6.9004
6.8915,6.8915,6.8915
6.8821,6.8821,6.8821
6.8776,6.8776,6.8776
6.8801,6.8801,6.8801
6.874,6.874,6.874
6.8699,6.8699,6.8699
6.8653,6.8653,6.8653
6.8657,6.8657,6.8657
6.8622,6.8622,6.8622
6.8543,6.8543,6.8543
6.8561,6.8561,6.8561
6.853,6.853,6.853
6.851,6.851,6.851
6.8589,6.8589,6.8589
6.869,6.869,6.869
6.851,6.851,6.851
6.857,6.857,6.857
6.8428,6.8428,6.8428
6.834,6.834,6.834
6.845,6.845,6.845
6.8211,6.8211,6.8211
6.8113,6.8113,6.8113
6.8213,6.8213,6.8213
6.8169,6.8169,6.8169
6.83,6.83,6.83
6.8217,6.8217,6.8217
6.8297,6.8297,6.8297
6.8289,6.8289,6.8289
6.8189,6.8189,6.8189
6.841,6.841,6.841
6.8264,6.8264,6.8264
6.8272,6.8272,6.8272
6.8318,6.8318,6.8318
